"Shopping Cart Sidebar","Shopping Cart Sidebar",module,Magento_Checkout
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar",module,Magento_Checkout
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar",module,Magento_Checkout
"Maximum Number of Items to Display","Maximum Number of Items to Display",module,Magento_Checkout
"Payment Failed Emails","Payment Failed Emails",module,Magento_Checkout
"Payment Failed Email Sender","Payment Failed Email Sender",module,Magento_Checkout
"Payment Failed Email Receiver","Payment Failed Email Receiver",module,Magento_Checkout
"Payment Failed Template","Payment Failed Template",module,Magento_Checkout
"Email template chosen based on theme fallback when Default option is selected.","Email template chosen based on theme fallback when Default option is selected.",module,Magento_Checkout
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To",module,Magento_Checkout
"Separate by ",".","Separate by ",".",module,Magento_Checkout
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method",module,Magento_Checkout
"Summary","Summary",module,Magento_Checkout
"Order Total","Order Total",module,Magento_Checkout
"Shipping Address","Shipping Address",module,Magento_Checkout
"We'll send your order confirmation here.","We'll send your order confirmation here.",module,Magento_Checkout
"Payment","Payment",module,Magento_Checkout
"Not yet calculated","Not yet calculated",module,Magento_Checkout
"We received your order!","We received your order!",module,Magento_Checkout
"Thank you for your purchase!","Thank you for your purchase!",module,Magento_Checkout
" optional"," optional",module,Magento_Checkout

"Deleting from cart!","Deleting from cart!",module,Onestepcheckout_Iosc
"Are you sure you want to remove this item from your cart?","Are you sure you want to remove this item from your cart?",module,Onestepcheckout_Iosc
"If new address form is open, please close the form or add new address to the list.","If new address form is open, please close the form or add new address to the list.",module,Onestepcheckout_Iosc
"Please select shipping address by clicking on the address. If new address form is open, please close the form or add new address to the list.","Please select shipping address by clicking on the address. If new address form is open, please close the form or add new address to the list.",module,Onestepcheckout_Iosc
"Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.","Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.",module,Onestepcheckout_Iosc
"Please choose a payment method!","Please choose a payment method!",module,Onestepcheckout_Iosc
"Please specify address info to get rates!","Please specify address info to get rates!",module,Onestepcheckout_Iosc
